CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|8582458|CET|1|CH||ALPNACHSTAD|ALPNACHSTAD||||465718N|26|081639E|||||FRR|851A021|RDS
|8775890|CET|1|FR||PARIS|PARIS||||502111N|26|033048E|||||FRR|871A001|RDS
|87G0509|CET|1|FR||TROYES|TROYES||||481746N|26|040354E|||||FRR|871A002|RDS
|8724853|CET|1|FR||LYON|LYON||||484835N|26|022707E|||||FRR|871A003|RDS
|87G0346|CET|1|FR||ORLY|ORLY||||484346N|26|022205E|||||FRR|871A004|RDS
|87G0072|CET|1|FR||CALAIS CENTRE|CALAIS CENTRE||||472015N|26|005916E|||||FRR|871A005|RDS
|87G0297|CET|1|FR||MASSY|MASSY||||484330N|26|021535E|||||FRR|871A006|RDS
|87G0434|CET|1|FR||ST ETIENNE|ST ETIENNE||||433013N|26|012749W|||||FRR|871A007|RDS
|87G0336|CET|1|FR||NICE|NICE||||434216N|26|071542E|||||FRR|871A008|RDS
|87G0230|CET|1|FR||LANGRES|LANGRES||||475236N|26|052026E|||||FRR|871A009|RDS
|87G0388|CET|1|FR||ROMILLY|ROMILLY||||490013N|26|005118E|||||FRR|871A010|RDS
|87G0432|CET|1|FR||ST DIZIER|ST DIZIER||||483833N|26|045652E|||||FRR|871A011|RDS
|87G0182|CET|1|FR||GENEVE|GENEVE||||485533N|26|022235E|||||FRR|871A012|RDS
|8724850|CET|1|FR||AVIGNON|AVIGNON||||435630N|26|044818E|||||FRR|871A014|RDS
|87G0270|CET|1|FR||LILLE|LILLE||||453853N|26|000939E|||||FRR|871A015|RDS
|8776100|CET|1|FR||VALENCE|VALENCE||||445540N|26|045336E|||||FRR|871A018|RDS
|87G0056|CET|1|FR||BOULOGNE SUR MER|BOULOGNE SUR MER||||504404N|26|013541E|||||FRR|871A019|RDS
|87G0144|CET|1|FR||DECAZEVILLE|DECAZEVILLE||||443320N|26|021305E|||||FRR|871A021|RDS
|871A022|CET|1|FR||VERSAILLES|VERSAILLES||||484954N|26|021713E|||||FRR|871A022|RDS
|87G0052|CET|1|FR||BORDEAUX|BORDEAUX||||445003N|26|003601W|||||FRR|871A023|RDS
|8711603|CET|1|FR||ROISSY|ROISSY||||484744N|26|023901E|||||FRR|871A024|RDS
|87G0293|CET|1|FR||MARSEILLE|MARSEILLE||||485723N|26|021738E|||||FRR|871A027|RDS
|87G0291|CET|1|FR||MARNE LA VALLEE|MARNE LA VALLEE||||485213N|26|024658E|||||FRR|871A028|RDS
|87G0339|CET|1|FR||NOGENT SUR SEINE|NOGENT SUR SEINE||||482951N|26|032936E|||||FRR|871A029|RDS
|87G0345|CET|1|FR||ORLEANS|ORLEANS||||501927N|26|032253E|||||FRR|871A030|RDS
