CODE_VALUE|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|LOCATION_TYPE_CODE|DATA_OWNER|GENERIC_LOCATION_CODE
871A416|VOUGEOT|VOUGEOT|26|FRR|87G0597
871A418|LABASTIDE|LABASTIDE|26|FRR|87G0598
871A420|ARZVILLER|ARZVILLER|26|FRR|87G0599
871A422|UZEL|UZEL|26|FRR|87G0600
871A425|ALBIAS|ALBIAS|26|FRR|87G0601
871A427|AMIENS|AMIENS|26|FRR|87G0602
871A428|MIRANDE|MIRANDE|26|FRR|87G0603
871A430|TOURNON|TOURNON|26|FRR|87G0604
871A431|SALECHAN|SALECHAN|26|FRR|87G0605
871A432|ST SEBASTIEN|ST SEBASTIEN|26|FRR|87G0606
871A438|BERTREN|BERTREN|26|FRR|87G0607
871A442|RIOM|RIOM|26|FRR|87G0608
871A445|AUBIET|AUBIET|26|FRR|87G0609
871A446|AUBIN|AUBIN|26|FRR|87G0610
871A447|EBERSVILLER|EBERSVILLER|26|FRR|87G0611
871A449|VILLETTE|VILLETTE|26|FRR|87G0612
871A450|BIARRITZ|BIARRITZ|26|FRR|87G0613
871A452|MORLAIX|MORLAIX|26|FRR|87G0614
871A454|CONFLANS|CONFLANS|26|FRR|87G0615
871A455|PONTGIBAUD|PONTGIBAUD|26|FRR|87G0616
871A456|TERNAY|TERNAY|26|FRR|87G0617
871A458|BOLOGNE|BOLOGNE|26|FRR|83G0007
871A459|CASTRES|CASTRES|26|FRR|87G0618
871A460|VARILHES|VARILHES|26|FRR|87G0619
871A461|ST JEAN DE VERGES|ST JEAN DE VERGES|26|FRR|87G0620
871A462|ALLEGRE|ALLEGRE|26|FRR|87G0621
871A463|TARASCON SUR ARIEGE|TARASCON SUR ARIEGE|26|FRR|87G0622
871A467|PAMIERS|PAMIERS|26|FRR|87G0623
871A468|LA CHAISE DIEU|LA CHAISE DIEU|26|FRR|87G0624
871A469|LE BREUIL SUR COUZE|LE BREUIL SUR COUZE|26|FRR|87G0625
871A470|VATIMONT|VATIMONT|26|FRR|87G0626
871A471|AMBERT|AMBERT|26|FRR|87G0627
